cluster,hhid,extid
44,44016,44016-09
44,44016,44016-10
10,10017,10017-04
10,10017,10017-05
88,88482,88482-03
24,24057,24057-03
24,24057,24057-04
20,20014,20014-03
20,20014,20014-04
20,20014,20014-05
20,20014,20014-06
36,36015,36015-03
36,36015,36015-04
36,36015,36015-05
36,36015,36015-06
36,36015,36015-07
36,36015,36015-08
28,28095,28095-06
28,28095,28095-07
28,28095,28095-08
09,09032,09032-06
09,09032,09032-07
09,09006,09006-05
09,09006,09006-06
09,09006,09006-07
39,39012,39012-07
39,39012,39012-08
39,39012,39012-09
60,60015,60015-05
60,60015,60015-06
60,60015,60015-07
60,60015,60015-08
60,60015,60015-09
23,23019,23019-05
82,82015,82015-02
82,82015,82015-03
40,40012,40012-03
